Age,Experience_Years,Education,Skills,Previous_Companies,Certifications,Job_Role_Applied
25,2,BSc IT,"Python, SQL, Data Analysis",TechSoft,AWS Cloud Practitioner,Data Analyst
30,5,MSc Artificial Intelligence,"Python, Machine Learning, NLP","AI Labs, TechCorp","TensorFlow, PyTorch",Machine Learning Engineer
28,4,BEng Software Engineering,"Java, Spring Boot, MySQL",CodeBase Ltd,Oracle Java Certification,Backend Developer
35,8,MBA Information Systems,"Project Management, Agile, Scrum",Global Tech Solutions,PMP,IT Project Manager
27,3,BSc Computer Science,"HTML, CSS, JavaScript, React",WebWorks,Frontend Developer Certification,Frontend Developer
25,2,BSc IT,"Python, SQL, Data Analysis",TechSoft,AWS Cloud Practitioner,Data Analyst
30,5,MSc Artificial Intelligence,"Python, Machine Learning, NLP","AI Labs, TechCorp","TensorFlow, PyTorch",Machine Learning Engineer
28,4,BEng Software Engineering,"Java, Spring Boot, MySQL",CodeBase Ltd,Oracle Java Certification,Backend Developer
35,8,MBA Information Systems,"Project Management, Agile, Scrum",Global Tech Solutions,PMP,IT Project Manager
27,3,BSc Computer Science,"HTML, CSS, JavaScript, React",WebWorks,Frontend Developer Certification,Frontend Developer
