Feature,Importance
role_level_Trainee,0.16587323340947527
avg_task_completion,0.16050251142573543
attendance_rate,0.14077234904148142
overtime_hours,0.12364217338156268
projects_handled,0.11366878000563525
experience_years,0.09163087032136562
training_hours,0.081959628079462
age,0.06427066993108177
role_level_Senior,0.027095768506962416
position_DevOps Engineer,0.0028722052532074126
position_Solution Architect,0.00259785848145043
position_Support Analyst,0.0025828282850897427
position_System Administrator,0.002292660709063115
position_IT Manager,0.002289447013485767
position_System Analyst,0.00211451905005628
position_Data Engineer,0.0021046864435602403
position_Data Analyst,0.0020675417787862985
position_Database Administrator,0.0019177574501186483
position_Cloud Engineer,0.0018689781708215048
position_Data Scientist,0.001844808501322938
position_QA Tester,0.0016469707146082773
position_QA Engineer,0.0015679919949442016
position_UX Researcher,0.0014132949263504259
position_UX Designer,0.001402467124372807
