role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Senior,Data Scientist,45,20,5,5,15,20,30,5
Junior,Data Analyst,26,3,2,3,4,35,12,2
Trainee,Business Analyst,23,1,1,2,2,40,8,1
Senior,UX Designer,39,15,4,4,12,18,22,4
Junior,DevOps Engineer,30,6,3,3,7,25,15,3
Senior,System Administrator,50,25,5,4,18,12,28,5
Trainee,Data Analyst,24,2,2,2,3,30,10,2
Senior,Database Administrator,42,18,4,5,14,15,20,4
Junior,Business Analyst,28,5,3,3,6,27,14,3
Trainee,UX Designer,22,1,1,1,1,45,6,1
Senior,Data Scientist,47,22,5,5,20,10,35,5
Junior,QA Tester,33,7,3,4,8,22,18,3
Senior,DevOps Engineer,44,19,4,4,16,16,25,4
Trainee,Database Administrator,25,2,2,2,4,38,9,2
Junior,Data Scientist,31,6,3,3,9,24,16,3
Senior,Business Analyst,52,28,5,5,22,14,32,5
Senior,Solution Architect,48,23,5,5,18,12,30,5
Junior,System Analyst,29,5,3,3,7,28,12,3
Trainee,UX Researcher,24,2,2,2,3,35,10,2
Senior,Cloud Engineer,41,17,4,4,14,20,25,4
Junior,QA Engineer,27,4,3,3,6,30,14,3
Senior,Data Engineer,45,20,5,5,16,18,28,5
Trainee,Support Analyst,23,1,1,2,2,40,8,1
Junior,DevOps Intern,25,1,2,2,3,38,10,2
Senior,IT Manager,50,25,5,5,20,15,32,5
