Employee_ID,role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours
EMP001,Senior,Data Scientist,45,20,5,5,15,20,30
EMP002,Junior,Data Analyst,26,3,2,3,4,35,12
EMP003,Trainee,Business Analyst,23,1,1,2,2,40,8
EMP004,Senior,UX Designer,39,15,4,4,12,18,22
EMP005,Junior,DevOps Engineer,30,6,3,3,7,25,15
EMP006,Senior,System Administrator,50,25,5,4,18,12,28
EMP007,Trainee,Data Analyst,24,2,2,2,3,30,10
EMP008,Senior,Database Administrator,42,18,4,5,14,15,20
EMP009,Junior,Business Analyst,28,5,3,3,6,27,14
EMP010,Trainee,UX Designer,22,1,1,1,1,45,6
EMP011,Senior,Data Scientist,47,22,5,5,20,10,35
EMP012,Junior,QA Tester,33,7,3,4,8,22,18
EMP013,Senior,DevOps Engineer,44,19,4,4,16,16,25
EMP014,Trainee,Database Administrator,25,2,2,2,4,38,9
EMP015,Junior,Data Scientist,31,6,3,3,9,24,16
